선수,연봉(만원),WAR,WAR당 연봉,팀,pid
류현진,250000,4.56,54775,한화 이글스,10590
채은성,100000,1.40,71340,한화 이글스,11215
페냐,65000,0.35,187034,한화 이글스,15146
페라자,60000,2.90,20686,한화 이글스,16121
최재훈,60000,1.68,35760,한화 이글스,10170
이태양,50000,-0.29,-170710,한화 이글스,10609
안치홍,50000,1.97,25319,한화 이글스,10014
산체스,50000,1.58,31615,한화 이글스,15643
바리아,48000,1.75,27382,한화 이글스,16150
노시환,35000,2.92,11985,한화 이글스,14125
장시환,20000,0.21,97084,한화 이글스,10453
박상원,19500,1.00,19491,한화 이글스,12871
김범수,19300,0.14,134337,한화 이글스,11411
정은원,17800,0.14,130324,한화 이글스,13137
김민우,16700,0.62,26890,한화 이글스,11410
장민재,15000,0.66,22587,한화 이글스,10610
김강민,11000,0.08,142068,한화 이글스,10108
주현상,11000,3.16,3479,한화 이글스,11415
윤대경,11000,-0.13,-85456,한화 이글스,11110
정우람,10000,-,-,한화 이글스,10156
문동주,10000,1.93,5191,한화 이글스,15013
문현빈,8000,0.24,33324,한화 이글스,15422
김태연,7800,0.47,16566,한화 이글스,12585
이도윤,7500,1.14,6585,한화 이글스,11414
이진영,7000,0.03,205441,한화 이글스,12539
하주석,7000,0.23,30579,한화 이글스,10913
김인환,6900,-1.27,-5425,한화 이글스,12589
김종수,6800,-,-,한화 이글스,11117
장진혁,5800,0.76,7644,한화 이글스,12583
이민우,5600,0.90,6199,한화 이글스,13003
배민서,5100,-0.03,-178322,한화 이글스,14158
이명기,5000,-0.09,-53323,한화 이글스,10119
이재원,5000,-0.25,-19618,한화 이글스,10082
한승혁,4900,0.96,5130,한화 이글스,10812
와이스,4800,3.16,1521,한화 이글스,16153
최인호,4800,2.03,2359,한화 이글스,14707
한승주,4500,-0.48,-9304,한화 이글스,14621
이상규,4400,0.38,11481,한화 이글스,13245
김기중,4400,0.38,11587,한화 이글스,14808
박상언,4200,0.53,7988,한화 이글스,12587
김규연,4100,0.07,59451,한화 이글스,14871
남지민,4000,0.10,38156,한화 이글스,14619
조한민,3800,-,-,한화 이글스,14210
이원석,3600,0.19,18675,한화 이글스,13138
이충호,3400,-0.05,-68741,한화 이글스,11116
임종찬,3400,-0.22,-15452,한화 이글스,14706
김서현,3300,0.65,5071,한화 이글스,15421
권광민,3300,0.53,6250,한화 이글스,13676
허관회,3300,-,-,한화 이글스,14204
유로결,3300,-0.06,-59189,한화 이글스,14126
장규현,3200,-0.13,-23948,한화 이글스,14811
김건,3200,-,-,한화 이글스,14209
장지수,3200,-0.08,-39864,한화 이글스,14178
이재용,3100,-,-,한화 이글스,12902
이상혁,3100,-0.11,-28290,한화 이글스,15139
이민준,3100,-,-,한화 이글스,15423
서정훈,3000,-,-,한화 이글스,16120
김선동,3000,-,-,한화 이글스,16119
김도빈,3000,-0.02,-128266,한화 이글스,16118
권동욱,3000,-,-,한화 이글스,16117
승지환,3000,-,-,한화 이글스,16116
권현,3000,-,-,한화 이글스,16115
원종혁,3000,-,-,한화 이글스,16114
이승현,3000,-,-,한화 이글스,16113
최준서,3000,-,-,한화 이글스,16112
이기창,3000,-,-,한화 이글스,16111
황영묵,3000,1.83,1642,한화 이글스,16110
정안석,3000,-,-,한화 이글스,16109
조동욱,3000,0.08,35359,한화 이글스,16108
황준서,3000,1.31,2288,한화 이글스,16107
김진욱,3000,-,-,한화 이글스,13144
이성민,3000,-,-,한화 이글스,15019
정이황,3000,-,-,한화 이글스,14127
조은,3000,-,-,한화 이글스,14810
한경빈,3000,0.00,-629368,한화 이글스,15633
성지훈,3000,-,-,한화 이글스,15631
김승일,3000,0.13,23229,한화 이글스,14711
송호정,-,-,-,한화 이글스,14812
신우재,-,-,-,한화 이글스,16011
박동원,250000,4.75,52599,LG 트윈스,10387
김현수,100000,1.01,99083,LG 트윈스,10187
켈리,80000,1.73,46128,LG 트윈스,13934
오스틴,80000,5.62,14229,LG 트윈스,15532
엔스,60000,3.76,15962,LG 트윈스,16023
박해민,60000,2.71,22112,LG 트윈스,11190
홍창기,51000,6.29,8112,LG 트윈스,12546
에르난데스,44000,1.33,32988,LG 트윈스,16160
최원태,40000,2.78,14390,LG 트윈스,11379
정우영,32000,-0.02,-2063305,LG 트윈스,14136
문보경,30000,4.30,6972,LG 트윈스,14137
오지환,30000,3.12,9616,LG 트윈스,10475
문성주,20000,2.89,6928,LG 트윈스,13112
함덕주,20000,0.26,78097,LG 트윈스,11094
김진성,20000,0.57,35046,LG 트윈스,11166
임찬규,20000,3.98,5029,LG 트윈스,10652
최동환,13000,-0.22,-58350,LG 트윈스,10535
이우찬,12500,-0.64,-19685,LG 트윈스,10749
김윤식,12000,-0.07,-163067,LG 트윈스,14588
신민재,11500,2.36,4876,LG 트윈스,13056
허도환,10000,-0.76,-13118,LG 트윈스,10684
백승현,9200,-0.40,-22725,LG 트윈스,13009
유영찬,8500,0.66,12856,LG 트윈스,14669
구본혁,7000,1.57,4471,LG 트윈스,14140
윤호솔,7000,0.10,69777,LG 트윈스,11170
이재원,7000,-,-,LG 트윈스,13104
이지강,6800,-0.09,-76140,LG 트윈스,14143
김유영,6700,0.56,11926,LG 트윈스,11229
박명근,6500,-0.34,-19027,LG 트윈스,15486
김민수,6000,-0.36,-16868,LG 트윈스,12931
배재준,6000,-,-,LG 트윈스,12697
김대현,5700,0.03,216389,LG 트윈스,12532
안익훈,5500,0.01,689157,LG 트윈스,11347
이영빈,5500,0.00,2305239,LG 트윈스,14783
이상영,5000,0.50,9955,LG 트윈스,14135
임준형,4800,0.13,37733,LG 트윈스,14142
손주영,4300,3.68,1168,LG 트윈스,12908
최승민,4000,-0.02,-251300,LG 트윈스,14187
강효종,3800,-0.06,-66747,LG 트윈스,14780
김영준,3600,-0.23,-15448,LG 트윈스,13102
송찬의,3600,-0.12,-29631,LG 트윈스,13109
김주성,3500,0.17,20427,LG 트윈스,12545
김범석,3300,-0.31,-10590,LG 트윈스,15484
전준호,3300,-0.02,-155746,LG 트윈스,12864
성동현,3200,0.08,37930,LG 트윈스,13103
김진수,3200,0.02,204366,LG 트윈스,14781
김성우,3100,-0.24,-12863,LG 트윈스,15085
우강훈,3100,0.15,20274,LG 트윈스,14816
김성진,3100,-0.04,-73680,LG 트윈스,14141
김현종,3000,0.17,17163,LG 트윈스,16013
손용준,3000,-,-,LG 트윈스,16014
진우영,3000,0.08,36767,LG 트윈스,16015
배강,3000,-,-,LG 트윈스,16018
최명경,3000,-0.04,-68830,LG 트윈스,16026
이태겸,3000,-,-,LG 트윈스,16025
오승윤,3000,-,-,LG 트윈스,16024
심규빈,3000,-,-,LG 트윈스,16022
김도윤,3000,-,-,LG 트윈스,16021
강석현,3000,-,-,LG 트윈스,16020
김대원,3000,0.07,44048,LG 트윈스,16016
정지헌,3000,-0.24,-12395,LG 트윈스,16017
김종우,3000,-,-,LG 트윈스,16019
한지용,3000,-,-,LG 트윈스,14604
이종준,3000,0.35,8545,LG 트윈스,14651
문정빈,3000,-,-,LG 트윈스,15086
최원영,3000,0.25,11916,LG 트윈스,15084
조건희,3000,-,-,LG 트윈스,14782
김의준,3000,-,-,LG 트윈스,13108
이주헌,3000,0.10,29869,LG 트윈스,15081
김단우,3000,-,-,LG 트윈스,14841
김유민,3000,-,-,LG 트윈스,14842
김형욱,3000,-,-,LG 트윈스,14844
박민호,3000,-,-,LG 트윈스,14845
전진영,3000,-,-,LG 트윈스,14885
이믿음,3000,-0.16,-18953,LG 트윈스,14847
백선기,3000,-,-,LG 트윈스,13174
하영진,3000,-,-,LG 트윈스,14671
김주온,3000,-0.11,-27713,LG 트윈스,13057
함창건,3000,-0.19,-15608,LG 트윈스,14680
강민,3000,-,-,LG 트윈스,14660
김수인,3000,-0.15,-20407,LG 트윈스,14675
허용주,3000,-,-,LG 트윈스,15491
박세웅,135000,4.69,28778,롯데 자이언츠,11310
전준우,130000,1.95,66702,롯데 자이언츠,10266
유강남,100000,0.02,5859879,롯데 자이언츠,10753
반즈,85000,6.81,12473,롯데 자이언츠,15011
레이예스,60000,3.72,16111,롯데 자이언츠,16106
윌커슨,60000,7.42,8084,롯데 자이언츠,12295
노진혁,60000,-0.23,-260317,롯데 자이언츠,11165
